stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0,0,21.42,0,0,0,0,0,0,0,0,0,1.34,1.34,9.37,0,0,0,0,0,0,1.34,0,1.34,0,0,1.34,0,0,0,0,0,1.34
3Month,1.28,9.6,21.76,440.57,1.28,8.32,3.84,176.61,25.6,0.32,90.55,20.48,17.28,554.47,38.39,67.83,129.9,18.88,1.92,0,61.75,15.36,7.68,0,26.56,1.28,0.32,11.52,12.8,0.64,0.32,24.96,13.44,187.81
22Month,0.55,26.79,18.04,147.05,0,2.19,0.55,39.36,109.33,7.65,190.24,13.67,26.79,201.17,4.92,26.24,84.73,15.85,1.64,3.83,20.23,1.09,2.73,0.55,15.85,0.55,1.09,0.55,1.09,3.83,0.55,7.65,0,39.91
