stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,4.09,0,12.26,0,0,0,0,0,0,0,0,0,0,8.17,8.17,4.09,16.35,0,0,0,0,4.09,57.21,0,0,0,0,0,0,0,0,4.09,0,0
72hpf,1.07,1.07,0,8.56,1.07,6.42,0,0,0,0,0,0,0,0,2.14,35.3,0,4.28,0,2.14,0,0,13.91,12.84,0,1.07,1.07,0,0,3.21,1.07,0,2.14,0,0
21Day,0,0,1.34,36.14,1.34,0,0,2.68,0,0,8.03,0,0,2.68,1.34,6.69,1.34,5.35,0,0,2.68,0,5.35,4.02,0,0,6.69,0,0,0,0,1.34,1.34,0,0
3Month,0,0,0.64,43.83,0.96,0,0,4.16,0.64,0,25.92,0.96,0.32,20.48,1.92,15.68,0.96,0.64,0.64,0,1.92,2.56,0.96,0,1.92,0,0,0.32,1.92,0.32,0,0,0.32,0.64,0.96
22Month,0.55,1.64,1.09,13.12,0,0,0.55,3.83,0,1.64,50.84,0,0,22.96,1.09,1.09,2.73,7.11,0,1.64,1.09,0,1.64,0,1.09,0.55,0,0.55,1.09,0,0.55,0,0,0,0
