stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0
72hpf,1.07,0,0,0,1.07,1.07,0,0,0,3.21,0,0,0,0,0
21Day,0,1.34,0,0,0,1.34,0,0,0,0,0,0,0,0,0
3Month,0,2.56,0.32,0.64,0,0,0.32,0.64,0.32,0.32,0,0.32,1.28,0.32,0.32
