stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,16.35,8.17,0,0,0,16.35,89.9,0,0,0,0,0,0,0,0,0,0
72hpf,16.05,1.07,0,6.42,0,7.49,0,0,0,0,0,0,0,1.07,3.21,23.54,0,24.61,0,0,0,2925.88,49.21,0,13.91,1.07,0,5.35,0,4.28,0,0,0
21Day,26.77,0,2.68,46.85,4.02,25.43,4.02,0,1.34,0,1.34,0,5.35,10.71,1.34,44.17,6.69,48.19,0,6.69,0,2140.31,12.05,0,25.43,14.72,1.34,6.69,4.02,4.02,0,0,8.03
3Month,0.32,0.96,0.64,12.8,0,0,0,0.64,1.28,0,10.56,1.92,0.32,3.84,0.64,5.12,3.84,3.52,0,0.32,4.16,250.52,0,0.32,0.32,0.96,5.76,0,0,0.32,2.88,1.6,2.88
22Month,0,0.55,0,1.64,0,0,1.09,0.55,3.83,1.64,24.6,2.73,0.55,1.64,0,0.55,3.28,0,2.19,0,0.55,92.38,0.55,1.09,0.55,0,0,0,0,0,0,0,0
