stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell
24hpf,0,0,0,0,0,0,4.09,0,0,0,0,12.26,0
72hpf,0,0,0,0,0,0,0,0,0,0,11.77,2.14,0
21Day,1.34,2.68,0,0,1.34,1.34,0,2.68,0,0,8.03,1.34,0
3Month,0,0.32,0,0.32,0,0.32,0,0.32,0.32,0,0.32,0,0.32
22Month,0.55,0,1.64,0,0.55,0,0,0.55,0,0.55,0,0,1.09
