stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,61.3,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,1.07,0,0,0,0,0,0,3.21,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0
21Day,1.34,0,1.34,0,0,0,0,0,10.71,21.42,0,1.34,2.68,0,0,0,4.02,1.34,0,1.34,1.34,0,0,1.34,0,0,0,4.02
3Month,0,0.64,1.6,0,0.32,2.24,0,3.2,58.55,0.64,0,0.32,11.84,0.32,0,0.64,0,0,0,0.32,0,0.32,0.64,0,0,0.96,0.32,8.64
22Month,1.09,0,1.09,0.55,0,2.19,7.65,7.65,44.83,0.55,1.64,0,26.79,1.09,0.55,0.55,0,0,0.55,0,0.55,0,0,0,0.55,0,0,7.11
