stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,4.09,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0
3Month,0.32,1.28,4.48,1.92,1.6,0,9.28,0.64,2.24,0.96,0.32,1.92,1.92,0,0.96,0,0,0.64,0.32,0.32,0.32,34.23,0.32,1.92,14.72,1.28
22Month,0,0,1.09,0,0,1.64,9.29,0,2.19,0.55,0,1.09,2.19,0.55,0,0,0,0,0,0,0,1.64,0,0,0,0
