stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
72hpf,1.07,0,2.14,0,0,0,0,0,0,0,0,0,1.07,0,1.07,0,0,0,1.07,0,0
21Day,2.68,0,4.02,0,0,0,0,0,0,0,0,0,0,1.34,0,1.34,0,0,0,0,0
3Month,7.36,0.96,0,0.32,0.64,0.32,0.96,0.32,0,0.96,0.32,0.32,3.84,5.44,0,0,0,1.6,0,13.76,1.28
22Month,2.19,0,0,0,0,0.55,2.73,0,0.55,0,0,0,1.64,2.73,0,0,0.55,0,0.55,2.19,0
