stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Primordial_germ_cell,Smooth_muscle_cell
72hpf,1.07,0,0,0,0,0,0,9.63,0,0
21Day,0,1.34,0,0,0,0,0,5.35,0,0
22Month,0,0.55,1.09,3.83,1.09,1.09,0.55,0,1.09,0.55
