stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,0
3Month,0,11.84,0.32,0.64,0.64,0,3.2,1.92,1.6,0.96,3.2,0.64,1.28,0.32,0,0.32,0.32,0.32,0,0.32,1.6,0,0.32,0.64
22Month,0.55,1.64,0.55,0,2.19,1.09,7.65,0.55,1.64,0.55,0.55,0,0.55,0,1.09,0,0.55,0.55,0.55,0,1.09,0.55,0,0.55
