stage,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell
72hpf,0,0,0,0,0,0,0,0,0,1.07,0,32.09,1.07,0,1.07,0,0
21Day,0,4.02,2.68,0,0,0,0,0,0,0,0,13.39,0,0,0,0,0
3Month,0,0.32,0,0,1.6,0,0.32,0.32,0,0,0,0,0,0,0,0.32,0.32
22Month,0.55,1.64,0,0.55,8.2,0.55,0,0,1.09,0,0.55,0.55,0,0.55,0,0.55,0
