stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.07,10.7,1.07,0,1.07,0,0,0,0,2.14,0,1.07,0,0,0,1.07,0,0,0,0,0
21Day,2.68,0,0,6.69,0,0,0,0,0,0,0,0,1.34,1.34,0,13.39,1.34,0,0,4.02,0,2.68,0,0,0,1.34,0,6.69,1.34,0,0,0,2.68
3Month,0.32,0.32,2.88,210.21,1.28,0,1.6,3.52,0,11.52,4.48,0.32,106.54,0.64,15.04,19.84,3.2,0.64,0,0.64,1.6,0.96,8.32,0,0,1.6,0.32,52.15,0,0,0.32,6.72,2.56
22Month,0,2.19,0,45.37,0.55,0.55,2.19,13.12,2.73,57.4,3.83,1.09,351.5,0,0.55,13.12,6.01,1.09,3.28,1.64,0.55,0,7.11,4.92,228.5,0,0,85.82,0,0.55,0,0,1.64
