stage,Epithelial_cell,Erythroid_progenitor_cell,Hepatocyte,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Pancreatic_cell,Spermatocyte
72hpf,0,0,0,0,2.14,1.07,0,0,0
21Day,5.35,0,0,4.02,5.35,0,1.34,0,0
3Month,11.2,0.32,0.64,0.64,0.96,0.32,0.32,0.32,0.32
