stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,0,16.35,0,0,16.35,77.64,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,2.14,1.07,0,0,0,0,0,0,0,0,3.21,3.21,3.21,3.21,0,0,46,20.33,1.07,5.35,0,0,3.21,1.07,1.07,0,0,0
21Day,0,1.34,0,14.72,1.34,1.34,0,0,0,1.34,0,2.68,1.34,2.68,6.69,2.68,12.05,0,0,22.76,5.35,0,5.35,1.34,0,2.68,1.34,0,0,0,5.35
3Month,0,0,0.32,8,0,0.64,2.24,2.88,0,6.08,1.92,0,3.2,1.28,2.24,1.28,2.24,0.32,0.32,0.64,0,0,0,0,3.2,0,0,0,0.64,0.32,0.64
22Month,0,0,0,1.09,0,0,0.55,0.55,0.55,10.39,0,0,2.19,0,0,1.09,1.64,0,1.09,0,0,0,0,0,0,0,0,0,0,0,1.09
