stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,44.95,0,0,0,0,0,0,0,0,0,0,4.09,16.35,16.35,20.43,0,0,0,0,32.69,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,17.12,1.07,0,1.07,0,1.07,0,0,0,1.07,0,1.07,31.02,4.28,9.63,0,0,0,3.21,4.28,0,0,3.21,0,0,0,0,1.07,0,0,0
21Day,2.68,0,0,61.57,2.68,13.39,2.68,0,0,0,4.02,0,9.37,2.68,1.34,28.11,10.71,26.77,0,5.35,0,13.39,1.34,1.34,2.68,12.05,4.02,0,2.68,0,0,0,0,10.71
3Month,0.32,0.96,0.32,16,0,0,0.32,2.24,3.52,0,7.04,4.48,1.28,6.4,0.64,4.8,6.08,6.08,0.64,1.92,1.28,0.64,0,0.32,0.32,0.32,0.32,2.24,0,0,0.64,1.92,2.24,6.4
22Month,0,2.19,0,8.2,0.55,0,1.09,0,12.57,1.64,18.04,0.55,1.64,4.92,0,3.28,14.21,7.65,0.55,0,0,0,0.55,1.09,0,0,0,0,1.09,1.09,0,0.55,0,6.56
