stage,Epithelial_cell,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Osteoblast,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,1.34,0,1.34,0,0,0,0
3Month,1.6,0,0,0,0.32,0.32,0.32,1.92,0,0,0.32,0,0.64,0.32,0.32,0.64
22Month,0,0.55,3.83,0.55,1.64,0,0,11.48,0.55,0,0,0,0,0,0,0
