stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,1.07,0,3.21,0,0,0,5.35,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,1.34,1.34,0,22.76,0,0,4.02,0,1.34,1.34,0,0,1.34,0,0,0,0
3Month,0,0,0,0.32,0,0,0,0,0,0,0.32,0.32,0,0,0,0,0.32,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0
22Month,1.09,60.13,1.64,37.72,3.28,0.55,1.64,1.64,7.11,14.76,47.56,1.64,3.28,14.76,2.73,2.73,13.12,162.36,2.73,0.55,12.03,0.55,1.09,1.09,0.55,1.09,4.37,4.92,0.55,1.09,6.56
