stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,8.17,0,0,0,0,0,155.28,8.17,0,0,0,0,0,32.69,12.26,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35,1.07,5.35,0,0,0,0,9.63,0,0,0,0,4.28,0,0,0,0,0,0,0,0
21Day,8.03,1.34,0,212.83,0,2.68,0,0,0,0,0,0,0,0,0,0,0,16.06,1.34,4.02,0,0,0,0,4.02,5.35,0,0,0,1.34,2.68,0,0,8.03,1.34,0,0,0
3Month,1.28,2.56,1.28,665.17,0.64,0,1.6,0,2.56,5.44,0.96,0,257.88,5.44,0,10.24,10.56,48.63,4.16,24.64,1.28,0,1.28,3.84,1.6,1.6,2.56,0,0,0.64,8.96,3.52,0,0,1.92,1.6,3.2,2.56
22Month,0.55,1.64,1.09,67.79,0,0,1.09,1.09,0.55,14.21,2.19,0,858.25,1.09,0.55,6.01,0.55,9.84,10.93,89.1,0.55,8.2,0.55,0,1.09,0,0.55,0.55,0.55,0,0.55,0,1.09,0,0.55,0,0,0.55
