stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,4.09,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,4.09,32.69,0,0,0,0,0
72hpf,2.14,2.14,0,2.14,1.07,0,0,0,0,0,0,1.07,3.21,10.7,0,1.07,0,28.88,12.84,4.28,0,2.14,0,0
21Day,0,0,2.68,0,0,0,0,0,1.34,1.34,0,0,5.35,4.02,0,1.34,0,9.37,1.34,2.68,0,1.34,0,0
3Month,0,0,0.96,0,0,0,0.32,0.32,1.92,0.32,0.32,0.96,1.6,0.64,0.64,0,0.32,0,0,0,0.32,0,1.6,0.64
22Month,0,1.64,1.09,0,0,0.55,0,0,6.01,0.55,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0.55
