stage,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,T_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,8.17,0,0,0
72hpf,0,0,1.07,0,0,0,0,1.07,0,1.07,0,2.14,0,0,1.07,0
22Month,2.19,0.55,1.64,3.83,1.09,19.68,0.55,0,1.09,1.09,1.64,0,0,179.3,0,1.09
