stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,7.49,0,0,2.14,0,0,0,0
21Day,0,0,1.34,0,0,0,0,0,0,0,0,0,1.34,0,0,0,1.34,0,0,0,1.34,0,0
3Month,0.32,0,1.6,0.32,1.28,5.44,0.32,0,0.96,0.32,0.32,0,7.68,0.96,0,0,0,0,0,0.64,5.44,1.92,0.32
22Month,0,0.55,2.73,0,1.09,11.48,0,0.55,1.09,0,0.55,1.09,20.77,0,0.55,0,0,0.55,0.55,0,2.19,0,0
