stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,36.78,0,0,0,0,0,0,0,0,0,0,126.68,8.17,0,40.86,0,0,12.26,16.35,433.16,8.17,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,3.21,32.09,2.14,0,0,0,0,0,0,0,0,2.14,4.28,0,8.56,0,0,0,38.51,32.09,0,0,0,5.35,0,0,0,55.63,1.07,0,0,0
21Day,0,0,0,8.03,21.42,4.02,0,0,0,0,0,0,0,0,0,1.34,0,5.35,0,2.68,0,6.69,2.68,0,0,0,2.68,1.34,0,1.34,8.03,5.35,0,0,0
3Month,0,4.8,3.52,145.26,5.12,0,0.64,6.08,14.4,1.28,94.7,20.16,0.96,24.96,16.64,17.92,13.76,16.64,0,6.08,8.64,8.96,1.92,5.12,4.8,0,0.96,10.88,0.96,103.66,2.24,0.96,17.6,3817.64,10.88
22Month,0,0.55,0,43.73,1.64,0,0,0,0.55,0,11.48,0,0.55,3.28,0.55,2.19,0,3.28,1.09,0,0.55,2.19,0.55,0.55,0.55,0.55,0.55,0,0,19.68,0.55,0,0,13.12,0
