stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.47,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,19.26,0,0,0,0,0,0,1.07,0,7.49,0,2.14,0,140.14,9.63,0,0,1.07,0,0,2.14,0,0,0
21Day,0,1.34,5.35,1.34,0,0,0,0,0,2.68,0,5.35,0,2.68,0,50.86,4.02,0,0,1.34,0,1.34,2.68,0,0,6.69
3Month,0,1.92,0,0,0,0.32,0.96,2.56,1.92,1.92,1.6,0.96,1.6,0.32,0,22.08,0,0.32,0,0,0.32,10.56,0,0.32,1.28,16
22Month,0,0,0.55,0,0.55,0,2.73,21.32,1.64,0.55,1.64,0,0.55,1.09,0.55,0,0,0,0.55,0.55,0,8.2,0,0,0,1.64
