stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,57.21,8.17,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,2.14,0,0,0,0,3.21,0,0,4.28,13.91,3.21,3.21,0,0,0,1.07,1.07,0,0
21Day,0,0,2.68,0,0,1.34,0,0,0,0,0,0,1.34,4.02,1.34,8.03,1.34,0,0,1.34,0,0,0
3Month,0.32,0.32,38.71,0,0,9.28,0,2.56,12.8,0,0.64,0.32,0.64,0,0,17.92,0.32,0.32,4.48,0,0.32,0.64,1.28
22Month,1.09,0,0.55,0,0,1.09,0.55,1.64,2.73,0.55,0,0,0,0,0,5.47,0,0,1.64,0,0,0,0
