stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia
72hpf,0,0,0,1.07,0,0,0,0,0,1.07,0,1.07,0,5.35,1.07,3.21,0,0,0,0
21Day,0,0,0,0,1.34,0,0,0,0,0,0,5.35,0,6.69,4.02,4.02,1.34,0,0,5.35
3Month,0,0.96,0.32,0,0.64,0,0.96,0,0.64,0,0.64,0.32,0.32,6.4,0,0,0,0,0.32,0
22Month,0.55,0,0,0,0,1.09,3.83,0.55,0,0,0,0.55,0,0.55,0,0,0,0.55,0,0
