stage,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0
72hpf,0,0,0,0,0,0,0,1.07,0,0,0,9.63,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,1.34,0,10.71,1.34,1.34,0,1.34,0
3Month,0.32,0.64,0,2.88,0.32,0.64,0,0,0.32,0,0.32,0.64,0,0,1.28,0,0
22Month,1.64,0.55,1.64,18.59,0.55,2.19,0.55,0,0.55,1.09,0,0,0,0,4.37,0.55,0.55
