stage,Hepatocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,T_cell
24hpf,0,0,4.09,16.35,0,0,0
72hpf,0,0,1.07,1.07,0,0,0
21Day,0,1.34,1.34,0,1.34,0,1.34
3Month,0.32,0,0,0,0,0,0
22Month,1.09,0,0,0,0,0.55,0
