stage,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Macrophage,Neural_progenitor_cell
24hpf,0,0,0,4.09,0,4.09
21Day,1.34,0,0,0,1.34,0
22Month,0,1.09,0.55,0,0,0
