stage,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Retinal_cone_cell
72hpf,0,0,0,0,23.54,2.14,1.07,0,1.07
21Day,0,0,1.34,0,13.39,0,0,1.34,0
3Month,0.32,0.32,0,0.32,0,0,0,0,0
22Month,0,1.64,0,0,0,0,0,0,0
