stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,20.43,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,8.17,12.26,0,0,0,0,8.17,40.86,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,20.33,0,0,0,0,0,0,2.14,0,0,0,1.07,0,17.12,114.47,0,3.21,0,1.07,0,1.07,18.19,13.91,0,0,0,5.35,1.07,0,0,3.21,0,0,0,0,0
21Day,1.34,0,2.68,250.31,0,9.37,0,1.34,0,0,0,0,1.34,0,16.06,24.09,1.34,219.52,10.71,16.06,0,0,4.02,0,14.72,5.35,2.68,1.34,0,4.02,8.03,0,0,5.35,1.34,5.35,0,0,16.06
3Month,1.28,5.76,16.64,342.99,0.32,0,3.52,2.88,0.32,79.35,31.67,0,124.14,48.63,4.48,404.74,14.4,99.18,39.03,23.04,6.4,0.64,17.28,21.76,3.84,0.64,16.64,1.6,0,0.32,7.36,0.32,38.07,0.32,0,0,10.88,6.4,79.03
22Month,0.55,21.32,56.31,305.58,0,0,5.47,2.19,0.55,97.85,101.13,10.93,369.54,50.84,18.59,953.91,6.56,73.8,73.25,40.45,2.73,17.49,22.41,3.28,2.73,0.55,31.16,3.28,1.09,1.09,3.28,0,41,4.92,3.28,0,4.92,0,54.12
