stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,4.09,0,8.17,0,0,0,0,0,4.09,0,0,0,0,0,4.09,0,36.78,0,0,0,12.26,77.64,0,0,0,8.17,0,0,0,0,0
72hpf,10.7,0,0,5.35,5.35,4.28,1.07,0,0,0,0,0,0,0,1.07,18.19,1.07,36.37,0,2.14,3.21,252.47,24.61,1.07,12.84,0,22.47,0,0,12.84,0,0
21Day,18.74,0,0,46.85,6.69,6.69,2.68,0,0,0,0,0,0,0,0,4.02,2.68,24.09,0,0,4.02,72.28,14.72,0,8.03,0,9.37,2.68,0,1.34,0,1.34
3Month,0,0.32,0.32,6.4,0,0,0,0,0.64,0,15.04,0.64,0,4.48,0.32,0.96,0.96,2.88,0.32,0,1.28,0.64,0.32,0,1.6,0,0.32,0.64,1.92,0,0.64,0
22Month,0.55,1.09,0,4.92,0,0,0,0.55,2.19,0,50.84,0.55,0.55,1.09,0,0.55,0.55,2.19,0,0,0,0.55,0,0,3.83,0.55,0,0,2.19,0.55,0,0
