stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0
72hpf,0,1.07,0,0,1.07,0,0,0,0,0,1.07,1.07,3.21,0,0,0,0,0
21Day,1.34,0,2.68,0,1.34,1.34,1.34,0,0,0,1.34,0,0,0,0,0,0,0
3Month,0,0,2.56,1.92,2.88,0,0.32,0.32,0.32,5.76,0,0,0,0.32,2.88,0.96,1.28,0.32
