stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,8.17,61.3,0,0,0,0,0,0,0,0,0,4.09,12.26,4.09,77.64,0,0,0,0,36.78,355.52,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,6.42,1.07,26.74,1.07,4.28,0,0,0,0,0,0,0,0,14.98,0,28.88,0,1.07,3.21,1.07,146.56,73.82,3.21,42.79,0,0,18.19,1.07,0,3.21,0,0,0
21Day,1.34,0,14.72,0,5.35,0,0,0,0,0,0,0,0,4.02,1.34,56.22,0,0,14.72,0,56.22,20.08,0,26.77,2.68,0,9.37,0,1.34,2.68,0,0,0
3Month,0,0.32,5.44,0,0,0.64,1.28,0.32,10.88,2.56,0.32,2.88,0.32,3.2,1.28,5.76,1.28,0,1.28,0.64,0.64,0,0,0.32,1.28,5.44,0,0,0,0,3.52,2.56,1.6
22Month,0.55,1.64,4.92,0,0,0.55,2.73,5.47,47.56,1.09,0.55,2.73,0,0,0.55,3.83,0.55,0.55,0.55,0,1.09,0,0,0,0.55,0.55,0.55,0,0,0,0.55,0,0
