stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
72hpf,0,1.07,0,0,0,0,0,1.07,1.07,0,46,0,4.28,0,3.21,0,0
21Day,0,0,1.34,0,0,0,0,0,0,1.34,25.43,0,0,4.02,0,1.34,0
3Month,0,0.64,0,0.32,0,0,0.32,0,0,0,0.32,0.32,0,0,0,0,0
22Month,0.55,0.55,0,0.55,0.55,11.48,1.64,0.55,0,1.09,0.55,0,0.55,0,0.55,0,1.09
