stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.12,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,1.07,0,0,0,0,1.07,4.28,0,0,0,1.07,0,0,0,0
21Day,2.68,0,4.02,0,0,0,0,0,0,0,1.34,1.34,0,1.34,4.02,1.34,0,0,0,0,1.34,2.68,0,0,0,0,2.68,0,0,1.34
3Month,0,4.16,0,0,0,0.64,1.92,0,10.24,1.28,0.32,4.8,0,2.24,3.2,0.64,0.32,0.32,0.32,0.64,0,0,0.32,0.64,1.28,0,0,0.32,0.64,0.96
22Month,0,0.55,0,0.55,0.55,0,1.64,0.55,16.95,0,3.28,2.73,0,0,2.73,1.09,0,1.64,0,0,0,0,0,0,0,0,0,0,0,1.09
