stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,49.04,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,2.14,0,0,0,0,0,0,0,0,5.35,8.56,0,7.49,0,0,0,205.4,34.23,0,0,12.84,0,0,3.21,0,1.07,0,0
21Day,2.68,0,2.68,1.34,0,0,1.34,0,0,0,4.02,0,0,2.68,1.34,17.4,0,0,0,169.99,6.69,1.34,0,14.72,0,4.02,1.34,0,0,0,0
3Month,0,0,2.24,0,0.32,0,0.96,0,4.48,0.64,0.32,1.6,0.32,0,0,1.6,0,0,0.32,0.96,0,0,0,0,0.32,15.68,0.32,0,0,0.96,0.32
22Month,0,0.55,2.19,0,0,1.64,2.73,0.55,20.77,0,0,2.19,0,0,1.64,1.64,1.64,0.55,0,4.37,0,0,0.55,0,0,16.95,0,0.55,0,0,0
