stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell
24hpf,0,0,0,0,0,0,0,0,36.78,0,0,0,0,0,0
72hpf,1.07,0,4.28,0,0,0,0,0,82.37,0,0,1.07,1.07,3.21,0
21Day,0,0,18.74,1.34,0,0,0,0,28.11,1.34,1.34,0,0,1.34,0
3Month,0,0,3.2,0,0.64,0.32,0.96,0.32,0.32,0.32,0,0,0,0,0.32
22Month,0,0.55,1.09,0,0,1.64,0,0,0,1.09,0,0,0,0,0.55
