stage,Hepatocyte,Immune_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte
72hpf,0,0,0,0,0,1.07,0,1.07,0,0,0,0,0
21Day,0,0,0,0,0,0,0,1.34,0,0,0,2.68,0
3Month,0.32,0.32,0.64,0.32,0.32,1.92,0,0,1.28,0,0.32,0,8.32
22Month,0,0,0,0,0,0,1.09,0,0,1.09,1.64,0,0
