stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast
24hpf,0,0,0,0,0,0,0,0,4.09,0,0,32.69,0,0
72hpf,1.07,3.21,0,0,0,0,0,0,3.21,0,9.63,4.28,0,3.21
21Day,0,2.68,0,0,1.34,0,0,1.34,2.68,0,8.03,2.68,1.34,1.34
3Month,0,0.32,0.32,0.64,0,0.96,0.32,0,0,0,0,0,0,0
22Month,0,0,0.55,0,0,0,0,0.55,0,0.55,0,0,0,0
