stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,4.09,20.43,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,2.14,0,2.14,0,0,0,0,0,0,0,0,4.28,7.49,0,2.14,0,0,0,0,2.14,3.21,0,0,0,10.7,0,0,0,0,0,0,0
21Day,1.34,0,0,12.05,0,1.34,0,0,0,0,1.34,0,1.34,2.68,1.34,4.02,1.34,6.69,0,0,0,0,1.34,1.34,0,0,0,10.71,0,1.34,0,1.34,0,0,0
3Month,0,0.64,0.64,11.2,0.32,0,0.32,1.6,0.32,0,31.67,0.96,0,10.56,0.96,1.92,1.6,6.72,0.32,0,1.6,3.2,0.64,0.32,0.64,0,0,0.64,1.28,11.2,0.32,0,0.32,7.36,0.32
22Month,0,0.55,0.55,8.2,0,0,0,1.09,2.19,1.09,83.09,0.55,0,12.57,0,0.55,0.55,7.65,0,1.64,0,0,0,0,0,0.55,0.55,1.09,0,8.2,1.64,0,0,0,1.09
