stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,20.43,4.09,4.09,0,0,0,12.26,24.52,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,11.77,5.35,7.49,0,0,0,0,0,0,0,0,0,0,9.63,6.42,1.07,4.28,2.14,0,0,163.68,6.42,2.14,0,4.28,0,0,2.14,1.07,0,1.07,0
21Day,2.68,1.34,18.74,2.68,5.35,0,4.02,0,0,0,0,1.34,0,1.34,1.34,4.02,9.37,5.35,8.03,0,1.34,0,78.97,4.02,2.68,0,18.74,2.68,0,0,0,2.68,0,1.34
3Month,0,0.32,7.36,0,0,0.32,0,1.28,0.32,0,0,9.92,0.64,0,0.64,1.28,1.6,0.32,1.28,0,1.28,0.32,3.52,0,0.64,0,0,0.32,0.32,0,0,0,0,1.28
22Month,0,0,9.84,0,0,0,0,2.19,2.19,3.83,0,61.23,1.09,0,2.19,0.55,1.09,4.92,1.09,0,3.28,0,5.47,0,3.28,0.55,0,0.55,1.09,1.09,1.64,0,0,1.09
