stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0
3Month,0.64,0,1.92,0.32,0,3.52,0.64,0.32,0.64,0.32,0.96,0.64,0.32,0.32,0.64,0.32,1.28,35.19,10.56,1.28
22Month,0,0.55,0.55,0,0.55,6.01,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0
