stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,57.21,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,3.21,0,4.28,0,0,0,0,0,0,0,0,6.42,0,0,0,1.07,0,0,22.47,10.7,0,1.07,6.42,1.07,0,2.14,2.14,0,0,0,0,0
21Day,0,6.69,2.68,8.03,0,0,1.34,0,0,4.02,0,1.34,2.68,2.68,6.69,0,0,0,0,12.05,9.37,0,0,4.02,0,0,0,0,1.34,1.34,0,1.34,0
3Month,0.64,1.92,0,0,0.32,0.32,1.6,5.44,0.96,0.32,1.92,0,1.28,1.92,1.6,0.32,0,0.96,0.64,0,0,0.32,0,0,0,1.6,0,0,0,0,0.32,2.56,0.64
22Month,0.55,0,0,0,0,0,0,1.09,0,0.55,0,0,0.55,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
