stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Radial_glia,T_cell
24hpf,8.17,0,0,0,0,0,0,0,0,0,0,0,12.26,0,28.6,0,0,0,0
72hpf,1.07,0,1.07,0,0,0,0,0,0,0,2.14,1.07,0,9.63,2.14,0,1.07,0,0
21Day,0,2.68,4.02,1.34,0,0,1.34,1.34,0,1.34,2.68,2.68,2.68,2.68,2.68,0,0,1.34,1.34
3Month,0,0,0.64,0,0.32,0.32,0.96,0,1.6,0,0,0,0,0,0,0.32,0,0.32,0
