stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Radial_glia,Spermatocyte
24hpf,4.09,4.09,4.09,0,0,4.09,8.17,0,93.99,0,0,0,0
72hpf,0,0,0,0,1.07,2.14,5.35,2.14,4.28,0,1.07,1.07,0
21Day,0,0,0,1.34,0,0,1.34,0,0,0,0,0,0
3Month,0,0,0,0,0,0,0,0,0,0,0,0,0.32
22Month,0,0,0,0,0,0,0,0,0,12.03,0,0,0
