stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,24.52,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,1.07,0,0,2.14,0,3.21,4.28,0,0,0,1.07,0,0,0,0
21Day,0,5.35,1.34,0,0,0,1.34,1.34,0,0,0,0,5.35,0,2.68,1.34,2.68,1.34,0,0,1.34,0,0,0
3Month,0,1.6,0,0,0.64,1.92,0.32,0,0.64,0,0.64,1.92,1.6,0.32,0,0,0,0,0.96,0,0,0.32,0.32,0.64
22Month,1.09,0.55,0,0.55,1.09,8.75,0,0,0.55,0,0,1.09,0,0.55,0,0,0,0,0,0,0,0,0,0.55
