stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,8.17,44.95,4.09,0,0,0,0
72hpf,1.07,0,0,1.07,1.07,0,0,0,0,0,1.07,0,0,0,3.21,0,1.07,0,0,1.07,3.21,0,0,1.07,0,0
21Day,0,1.34,0,4.02,0,0,1.34,0,0,0,1.34,1.34,0,1.34,0,2.68,1.34,0,0,0,0,0,1.34,0,1.34,0
3Month,0,0,0,0.96,0,0,0,0,0,0,1.6,0,0.32,0,0.96,0,0.64,0.96,0.32,0,0,0.32,0,0.64,0,0.32
22Month,0,0,1.09,7.11,0,0.55,0,1.64,0.55,1.09,31.71,0,3.28,0,1.64,1.64,2.19,1.09,1.09,0,0,0,0.55,0.55,0,0
