stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Primordial_germ_cell,Spermatocyte,T_cell
21Day,0,1.34,0,0,0,1.34,1.34,0,1.34,1.34,0,0,0,0,0
3Month,0,2.56,0.96,0.32,1.92,0,0,0,0.32,0.32,0.64,0.32,0.64,4.8,0
22Month,0.55,1.09,0.55,0,4.37,0,0,1.09,0,0,0,0,0,0,0.55
