stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron,Other,Secretory,Stromal
24hpf,0,1,0,0,4,7,3,0,0,2
72hpf,0,0.281848056003223,0.281848056003223,0.281848056003223,0,14.6560989121676,6.76435334407736,1.40924028001612,0,1.12739222401289
21Day,0,1.84993430132141,0,0.369986860264282,1.10996058079285,2.21992116158569,6.65976348475708,0,0.369986860264282,1.47994744105713
3Month,0.520085033223363,8.7374285581525,0,21.0114353422239,6.76110543190372,3.01649319269551,6.4490544119697,0,0.624102039868036,0.832136053157381
22Month,0,10.24870739911,0,8.33561535127612,3.14293693572706,0.273298863976266,12.8450466068845,0.409948295964399,0.683247159940666,0.409948295964399
