stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron,Other,Secretory,Stromal
24hpf,4,91,5,0,16,46,834,9,1,117
72hpf,4.79141695205479,258.454667354956,19.1656678082192,1.12739222401289,10.7102261281225,54.6785228646253,718.430694752216,15.2197950241741,13.5287066881547,227.451381194601
21Day,1.47994744105713,227.911905922798,52.1681472972638,2.58990802184998,46.2483575330353,69.1875428694208,278.23011891874,0,22.5691984761212,296.729461931954
3Month,6.34503740532503,738.520747177176,8.63341155150783,199.400601737837,91.7429998606013,21.7395543887366,22.2596394219599,1.66427210631476,27.7725407741276,70.211479485154
22Month,7.92566705531172,810.331131689629,8.60891421525239,46.187508011989,121.344695605462,8.19896591928799,34.5723062929977,34.7089557249858,15.3047363826709,64.635181330387
