stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron,Other,Secretory,Stromal
24hpf,58,396,4,0,487,6,163,2,1,75
72hpf,13.5287066881547,379.085635324335,4.79141695205479,0.84554416800967,60.597332040693,3.94587278404512,49.0415617445608,0,0.281848056003223,27.9029575443191
21Day,8.13971092581421,1326.40289404745,36.2587123058997,6.65976348475708,286.739816704819,18.4993430132141,86.5769253018421,0,23.3091721966498,65.1176874065137
3Month,11.6499047442033,534.231346127039,5.720935365457,100.480428418754,730.303403652247,11.9619557641374,4.05666325914223,2.08034013289345,7.28119046512708,36.9260373588588
22Month,13.391644334837,153.867260418638,6.69582216741852,15.7146846786353,823.859425456454,5.46597727952532,5.73927614350159,47.9639506278347,2.049741479822,32.3859153811875
