stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron,Other,Secretory,Stromal
24hpf,17,149,19,0,98,54,1248,15,3,170
72hpf,23.6752367042708,256.19988290693,103.438236553183,0.563696112006446,39.7405758964545,45.9412331285254,1352.02512464746,19.7293639202256,10.7102261281225,250.844769842869
21Day,12.5795532489856,501.332195658102,491.712537291231,1.84993430132141,303.389225416711,109.146123777963,622.317898964523,1.47994744105713,58.0879370614923,353.33745155239
3Month,31.5171530133358,1874.90654477022,24.2359625482087,197.944363644812,781.58378792807,110.778112076576,42.6469727243158,2.60042516611682,62.6182380000929,144.999707262674
22Month,59.9891006427904,1954.22352686229,26.2366909417216,28.2864324215436,1086.08968544168,62.585439850565,66.6849228102089,114.92217230202,44.5477148281314,132.959897324453
