stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron,Other,Secretory,Stromal
24hpf,10,60,2,0,17,14,424,6,1,65
72hpf,9.58283390410959,135.287066881547,34.3854628323932,0.84554416800967,2.81848056003223,18.3201236402095,255.918034850927,4.50956889605157,5.07326500805802,113.584766569299
21Day,7.02975034502136,183.513482691084,53.2781078780566,2.95989488211426,43.6584495111853,39.9585809085425,142.814928062013,0.369986860264282,22.9391853363855,178.333666647384
3Month,6.24102039868036,540.26433251243,3.64059523256354,224.260666325914,90.4947957808652,53.048673388783,16.7467380697923,1.1441870730914,24.1319455415641,30.1649319269551
22Month,4.91937955157279,502.050013124401,1.91309204783386,36.4853983408315,75.977084185402,18.7209721823742,15.3047363826709,30.1995244693774,16.5345812705641,15.1680869506828
