"stage","tissue","counts_sum","Total_sum"
"  5-6","neural",36.18,4563.84
"  7-9","neural",172.2,4563.84
" 10-12","neural",678.25,4563.84
" 14-21","neural",261.64,4563.84
" 24-34","neural",1101.94,4563.84
" 36-46","neural",993.35,4563.84
" 48-58","neural",484.53,4563.84
" 60-70","neural",203.15,4563.84
" 72-82","neural",129.24,4563.84
" 84-94","neural",124.91,4563.84
" 96-106","neural",111.96,4563.84
"108-118","neural",120.97,4563.84
"120","neural",145.52,4563.84
"  7-9","eye",52.27,4414.42
" 10-12","eye",47.37,4414.42
" 14-21","eye",4.32,4414.42
" 24-34","eye",50.45,4414.42
" 36-46","eye",228.13,4414.42
" 48-58","eye",631.09,4414.42
" 60-70","eye",1182.45,4414.42
" 72-82","eye",528.55,4414.42
" 84-94","eye",614.71,4414.42
" 96-106","eye",350.84,4414.42
"108-118","eye",335.91,4414.42
"120","eye",388.33,4414.42
" 10-12","spinal cord",16.63,1297.7
" 14-21","spinal cord",168.47,1297.7
" 24-34","spinal cord",395.68,1297.7
" 36-46","spinal cord",359.29,1297.7
" 48-58","spinal cord",216.93,1297.7
" 60-70","spinal cord",73.35,1297.7
" 72-82","spinal cord",14.3,1297.7
" 84-94","spinal cord",8.51,1297.7
" 96-106","spinal cord",7.05,1297.7
"108-118","spinal cord",25.33,1297.7
"120","spinal cord",12.16,1297.7
" 14-21","glial",15.72,936.61
" 24-34","glial",50.6,936.61
" 36-46","glial",99.87,936.61
" 48-58","glial",156.97,936.61
" 60-70","glial",110.06,936.61
" 72-82","glial",85.12,936.61
" 84-94","glial",81.17,936.61
" 96-106","glial",68.76,936.61
"108-118","glial",104.27,936.61
"120","glial",164.07,936.61
" 14-21","mesenchyme",2.97,502.72
" 24-34","mesenchyme",18.9,502.72
" 36-46","mesenchyme",45.42,502.72
" 48-58","mesenchyme",68.84,502.72
" 60-70","mesenchyme",84.46,502.72
" 72-82","mesenchyme",76.12,502.72
" 84-94","mesenchyme",67.86,502.72
" 96-106","mesenchyme",48.7,502.72
"108-118","mesenchyme",65.99,502.72
"120","mesenchyme",23.46,502.72
" 14-21","olfactory",2.96,390.68
" 24-34","olfactory",55.39,390.68
" 36-46","olfactory",44.19,390.68
" 48-58","olfactory",20.27,390.68
" 60-70","olfactory",31.86,390.68
" 72-82","olfactory",43.23,390.68
" 84-94","olfactory",43.94,390.68
" 96-106","olfactory",42.64,390.68
"108-118","olfactory",34.24,390.68
"120","olfactory",71.96,390.68
"  5-6","paraxial mesoderm",16.21,201.55
"  7-9","paraxial mesoderm",39.45,201.55
" 10-12","paraxial mesoderm",145.06,201.55
" 14-21","paraxial mesoderm",0.83,201.55
