stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron,Other,Secretory,Stromal
24hpf,0,0,0,0,4.08640457285017,0,16.3456182914007,0,0,0
72hpf,0,0,0,0,0,1.06979114146608,9.6281202731947,0,0,0
21Day,0,17.400930146643,1.33853308820331,0,1.33853308820331,1.33853308820331,6.69266544101654,0,0,1.33853308820331
3Month,0.319949299554195,215.005929300419,0.639898599108391,62.7100627126223,44.4729526380332,1.27979719821678,11.1982254843968,0,0.959847898662586,4.79923949331293
22Month,1.09330930239487,75.9849965164432,0,5.46654651197433,27.3327325598717,0.546654651197433,64.5052488412971,2.18661860478973,2.73327325598717,2.18661860478973
