stage,Epithelial,Erythroid,Immune,Neuron,Other
24hpf,12.2592137185505,0,0,0,0
72hpf,22.4656139707876,0,0,1.06979114146608,0
21Day,28.1091948522695,0,0,0,0
3Month,2.87954369598776,0.319949299554195,0.639898599108391,0,0
22Month,11.4797476751461,0,3.2799279071846,0,0.546654651197433
