stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron,Other,Secretory,Stromal
24hpf,8.17280914570035,12.2592137185505,0,0,4.08640457285017,4.08640457285017,343.257984119415,4.08640457285017,0,93.987305175554
72hpf,1.06979114146608,16.0468671219912,0,0,1.06979114146608,0,18.1864494049233,0,0,12.8374936975929
21Day,0,6.69266544101654,1.33853308820331,1.33853308820331,10.7082647056265,0,1.33853308820331,0,0,9.36973161742315
3Month,0,17.9171607750349,0.639898599108391,14.3977184799388,14.0777691803846,12.4780226826136,0.639898599108391,0,0.639898599108391,3.19949299554195
22Month,0.546654651197433,15.3063302335281,0.546654651197433,18.5862581407127,21.8661860478973,5.46654651197433,0.546654651197433,0,0,1.09330930239487
