stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron,Other,Secretory,Stromal
24hpf,261.529892662411,1405.72317306046,36.7776411556516,0,702.86158653023,445.418098440669,9897.27187544312,77.6416868841533,16.3456182914007,1458.84643250751
72hpf,170.096791493106,2817.82986662165,316.658177873959,5.34895570733039,274.936323356782,504.941418771989,14886.1437335005,73.8155887611594,82.373917892888,2433.77484683533
21Day,66.9266544101654,3533.72735285673,1048.07140806319,29.4477279404728,1309.08536026283,811.151051451204,4332.83160651411,1.33853308820331,224.873558818156,2189.84013230061
3Month,63.3499613117307,3297.39748120554,34.8744736514073,1677.17422826309,1447.77058048273,183.010999345,113.901950641294,7.0388845901923,98.8643335622464,341.385902624327
22Month,109.877584890684,4041.96449095382,55.7587744221382,267.314124435545,3592.06771301833,88.0113988427868,182.582653499943,312.139805833734,68.8784860508766,266.22081513315
