stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron,Other,Secretory,Stromal
24hpf,8.17280914570035,551.664617334773,4.08640457285017,0,314.653152109463,106.246518894105,899.009006027038,24.518427437101,0,322.825961255164
72hpf,22.4656139707876,943.555786773081,78.0947533270237,0,36.3728988098467,167.957209210174,671.828836840697,21.3958228293216,14.9770759805251,683.596539396824
21Day,16.0623970584397,914.218099242859,252.982753670425,5.35413235281323,215.503827200732,203.457029406903,254.321286758628,0,26.7706617640661,623.756419102741
3Month,35.8343215500699,1409.37666453623,17.9171607750349,580.068080091756,664.854644473618,110.702457645752,31.6749806558653,2.23964509687937,37.1141187482867,187.490289538759
22Month,48.1056093053741,938.059381454796,22.9594953502922,71.6117593068638,911.819958197319,52.4788465149536,37.1725162814255,65.0519034924946,17.4929488383179,127.370533729002
