stage,blastomeres,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0
 24-34,0,2.46,0.82,0,0,0,0,0,0,0,0,0,0,0,0,9.85,0,1.64,0.82,0,0,0,0,0,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,17.72,0,0,0.81,0,0,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,4.59,0,0,0,9.75,0,0,0,0,0,0,0,0,28.69,0,0,2.3,0,0,0,0,0,2.3,0,0,0,0,0
 60-70,0,0.98,120.73,0,0,0.98,14.72,0,0,0,0,0,2.94,0,0,71.65,0,0,0.98,0,0,0,0,0,10.8,0,0,0,0,0
 72-82,0,0.98,459.42,0,0.98,2.94,23.56,0,0,0.98,0,0,10.8,0,0,123.69,0,0,4.91,0,0,0.98,0,0,16.69,0,0.98,0.98,0,0
 84-94,0,13.81,317.55,0,2.12,0,29.74,0,0,1.06,1.06,0,6.37,0,2.12,88.15,0,1.06,11.68,0,0,1.06,0,4.25,13.81,0,0,2.12,1.06,0
 96-106,0,10.93,315.83,0,1.09,0,16.39,2.19,1.09,1.09,0,1.09,7.65,1.09,0,68.85,2.19,1.09,13.11,0,1.09,2.19,0,0,9.84,0,1.09,0,1.09,0
108-118,0,7.66,216,0,0,0.77,23.74,0.77,0,1.53,0.77,2.3,3.06,0,0,90.38,0,0.77,8.43,0,0,0,0,1.53,5.36,0.77,0,0.77,0,0.77
120,0,3.92,197.94,1.96,0,1.96,13.72,0,0,0,0,0,7.84,0,0,72.51,0,1.96,5.88,0,0,0,0,0,3.92,0,0,0,0,0
