stage,endocrine.pancreas,epidermis,eye,fast.muscle,fin.epithelia,glial,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,pericytes,periderm,slow.muscle,spinal.cord,vasculature
 14-21,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,6.57,0,0.82,0,0,0,3.28,0
 36-46,0,0,0.81,0,0.81,0,0,0.81,0,0.81,7.25,0.81,1.61,0,0.81,0,1.61,0.81
 48-58,0,0.57,2.3,0,0,1.15,0.57,1.15,0,0,12.05,0,0.57,0,0.57,0,4.02,0
 60-70,0,0,3.93,0,0,0.98,0,0,0,0,7.85,0,1.96,0,0,0,2.94,0
 72-82,0,0,8.83,0,0,3.93,0,2.94,0.98,0,23.56,0,0,0,0.98,0.98,0.98,0
 84-94,0,1.06,4.25,0,0,0,0,1.06,0,0,4.25,0,0,0,3.19,0,1.06,0
 96-106,1.09,0,5.46,1.09,0,1.09,0,1.09,0,0,3.28,0,2.19,1.09,1.09,0,0,0
108-118,0,0,3.06,0,0,1.53,0,2.3,1.53,0,3.83,0,0.77,0,0,0.77,0,0
120,0,0,9.8,0,0,1.96,0,1.96,0,0,7.84,0,0,0,0,0,0,0
