stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,527.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,6.13,367.78,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,12.26,0,0,0,0,0,0,0,0
  7-9,5.26,13.14,23.66,0,0,39.43,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,357.5,10.51,0,92,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,9.44,0,0,15.73,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,119.58,6.29,0,31.47,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,3,16,0,0,0,0,0,1,5,8,0,0,0,0,0
 24-34,0,0,0,0.82,0,2.46,0,0.82,2.46,0,0,0,0,0,0,0,0,9.03,0,0,5.75,22.98,0.82,0,0,0,0,0,1.64,11.49,0,0,4.93,0,0.82
 36-46,0,0,0,0.81,0,0,0,0,1.61,0,0,0,0.81,0,0,0,0,14.5,0,0,6.45,13.7,0.81,0,0,0,0,0,0,10.47,0,0,8.06,0,3.22
 48-58,0,0,0,0,0,0,0,0,1.15,1.72,0,0,0,0,0,0,0.57,17.79,0,0.57,2.3,6.89,0,0,0,0,0,0,0,4.59,0,0.57,5.16,0,4.02
 60-70,0,0,0,0.98,0,0,0,0,0.98,9.82,0,0,0.98,0,0,0,0,41.22,0,1.96,5.89,18.65,2.94,0,0,0,0,0,0,4.91,0,0.98,4.91,0,11.78
 72-82,0,0,0,2.94,5.89,5.89,0,0.98,0.98,9.82,0.98,0,0.98,0,0.98,0.98,0,53.99,0.98,1.96,1.96,17.67,0,0,0,0.98,0,0,0,0.98,0,1.96,7.85,2.94,1.96
 84-94,0,0,0,2.12,3.19,8.5,3.19,1.06,0,5.31,2.12,2.12,0,0,0,0,0,35.05,0,1.06,3.19,9.56,0,0,0,0,0,0,0,3.19,1.06,0,2.12,3.19,2.12
 96-106,0,0,0,3.28,3.28,1.09,0,0,0,5.46,3.28,0,1.09,0,1.09,1.09,0,27.32,1.09,1.09,3.28,12.02,0,1.09,0,1.09,0,0,0,2.19,0,3.28,8.74,5.46,3.28
108-118,0,0,1.53,5.36,0,4.6,0,0.77,0,6.89,0,0,0.77,0.77,1.53,0,1.53,30.64,0,0.77,1.53,5.36,0.77,0,0,0.77,0,0,0,3.06,0.77,1.53,4.6,1.53,1.53
120,0,0,0,3.92,1.96,0,0,1.96,0,5.88,0,0,0,0,0,0,1.96,15.68,0,1.96,0,9.8,0,0,0,0,0,0,0,0,0,1.96,5.88,1.96,1.96
