stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,hatching_gland,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,taste,vasculature
  3-4,65.89,1251.9,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0
  5-6,30.65,557.8,0,0,0,0,0,0,6.13,0,36.78,0,6.13,12.26,0,0,0,0,0,0
  7-9,5.26,18.4,7.89,0,0,39.43,0,0,23.66,0,344.36,23.66,113.03,0,2.63,0,0,0,0,0
 10-12,0,9.44,6.29,0,0,15.73,0,0,0,0,223.43,9.44,53.5,0,6.29,12.59,0,0,0,0
 14-21,0,0,0,1,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,0,2.46,0,0.82,0,1.64,9.03,0,0,0,0,0,0.82,1.64,0,0
 36-46,0,0,0,0,0,2.42,0,0,0,0.81,9.67,0,0,0,0,0,0,2.42,0,0
 48-58,0,0,0,0,0,3.44,0,0,0,0.57,1.72,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,2.94,0.98,1.96,0,1.96,3.93,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0.98,0.98,0,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,0,1.06,0,0,0,1.06,0,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,0,1.09,0,0,0,0,2.19,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0
