stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,500.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.09,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,6.29,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,116.44,3.15,0,0,22.03,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1,0,2,2,0,0,0,2,1,19,0,0,0,0,0
 24-34,0,0,0,0,1.64,0.82,6.57,0,0,0.82,0,0,0.82,0,0,0,0,4.93,0.82,0,1.64,139.55,0,2.46,1.64,0,0,0.82,0,0,0.82,34.48,0,0,0.82,0,0
 36-46,0,0,0,0,0.81,0,19.34,0.81,0,4.03,0,0,0,0,0,0,0,8.06,0,0,0.81,203.03,0,2.42,0.81,0,0,1.61,0,0,0,41.09,0,0,1.61,0,0
 48-58,0,0,0,0,0,0,54.51,0,1.15,10.9,0,0,0,0,0,0,0.57,10.33,0,0,0,252.47,0,4.59,0.57,0,0,1.72,0,0,0,39.02,0,0,0,0,0
 60-70,0,0,0,0,1.96,0,106.99,0,1.96,15.7,0,0,0.98,0,0,0,0,14.72,0,0,0,354.33,0,3.93,3.93,0,0,0.98,0,0,0,32.39,0,0,0.98,0,0.98
 72-82,0,0,0,0,2.94,0.98,144.3,0,0,24.54,3.93,0,2.94,0,0,0,0,22.58,0,0.98,0.98,404.44,0,7.85,1.96,0,0,0.98,0,0,0,31.41,2.94,0.98,1.96,0,0.98
 84-94,0,0,1.06,0,2.12,1.06,93.46,0,0,13.81,2.12,0,3.19,1.06,0,0,0,9.56,1.06,0,3.19,175.24,1.06,5.31,4.25,0,0,2.12,0,0,0,27.61,0,0,1.06,0,0
 96-106,0,0,1.09,0,3.28,0,74.31,2.19,1.09,14.21,4.37,0,0,0,1.09,3.28,0,16.39,0,1.09,1.09,182.51,0,1.09,3.28,0,1.09,1.09,0,1.09,0,6.56,2.19,0,1.09,0,0
108-118,0,0,0,0,3.06,0,68.94,0.77,0,15.32,0.77,0,3.83,0,0.77,0,0.77,16.09,0,0.77,0.77,181.53,0.77,3.06,3.83,0,0,3.06,0,0,0,9.96,0,0,1.53,1.53,0
120,0,0,0,0,7.84,1.96,54.87,1.96,0,31.36,0,0,3.92,0,0,1.96,0,11.76,0,0,3.92,235.17,1.96,9.8,1.96,0,0,1.96,0,0,0,9.8,0,0,1.96,0,0
